flag	content
$DFJKOption	Edit your keybindings
$UpKeybind	UP:  <bind>
$DownKeybind	DOWN:  <bind>
$RightKeybind	RIGHT: <bind>
$LeftKeybind	LEFT: <bind>
$AttackKeybind	ATTACK: <bind>
$PauseKeybind	PAUSE: <bind>
$ResetBind	RESET: <bind>
$MuteBind	VOLUME MUTE: <bind>
$VolUpBind	VOLUME UP: <bind>
$VolDownBind	VOLUME DOWN: <bind>
$FullscreenBind	FULLSCREEN <bind>
$UpP2Keybind	UP (P2): <bind>
$DownP2Keybind	DOWN (P2): <bind>
$RightP2Keybind	RIGHT (P2): <bind>
$LeftP2Keybind	LEFT (P2): <bind>
$ResetText	 (Press R to reset)
$EditorRes	Editor Grid: < <text> >
$Show_Text	Shown
$Hidden_Text	Hidden
$DownscrollOption	Scroll: < <text> >
$Downscroll_Text	Downscroll
$Upscroll_Text	Upscroll
$On_Text	Enabled
$Off_Text	Disabled
$Pause_Block_Text	This option cannot be toggled in the pause menu
$GhostTapOption	Ghost Tapping: < <text> >
$AccuracyOption	Accuracy Display < <text> >
$SongPositionOption	Song Position Bar: < <text> >
$DistractionsAndEffectsOption	Distractions: < <text> >
$Colour	Colored HP Bars: < <text> >
$ResetButtonOption	Reset Button: < <text> >
$InstantRespawn	Instant Respawn: < <text> >
$FlashingLightsOption	Flashing Lights: < <text> >
$AntialiasingOption	Antialiasing: < <text> >
$MissSoundsOption	Miss Sounds: < <text> >
$ShowInput	Score Screen Debug: < <text> >
$Judgement	Edit Judgements
$FPSOption	FPS Counter: < <text> >
$NoteSplashOption	Note Splashes: < <text> >
$LanguageOption	Language: < <text> >
$ScoreScreen	Score Screen: < <text> >
$FPSCapOption	FPS Cap: < <text> >
$ScrollSpeedOption	Scroll Speed: < <text> >
$RainbowFPSOption	FPS Rainbow: < <text> >
$AccuracyDOption	Accuracy Mode: < <text> >
$AccuracyDOption_Accurate_Text	Accurate
$AccuracyDOption_Complex_Text	Complex
$CustomizeGameplay	Customize Gameplay
$MemoryCountOption	Using memory counter: < <text> >
$WatermarkOption	Watermarks: < <text> >
$OffsetMenu	Time your offset
$OffsetThing	Note offset: < <text> >
$BotPlay	BotPlay: < <text> >
$FullscreenOnStartOption	Fullscreen when starting the game: < <text> >
$CamZoomOption	Camera Zoom: < <text> >
$JudgementCounter	Judgement Counter: < <text> >
$MiddleScrollOption	Middle Scroll: < <text> >
$NoteskinOption	Current Noteskin: < <text> >
$MenuMusicOption	Current Menu Music: < <text> >
$HealthBarOption	Health Bar: < <text> >
$LaneUnderlayOption	Lane Transparceny: < <text> >
$DebugMode	Animation Debug
$LockWeeksOption_Confirm	Confirm Story Reset
$LockWeeksOption_Text	Reset Story Progress
$ResetScoreOption_Confirm	Confirm Score Reset
$ResetScoreOption_Text	Reset Score
$ResetSettings_Confirm	Confirm Settings Reset
$ResetSettings_Text	Reset Settings
