flag	content
$DFJKOption	Изменить настройки управления
$UpKeybind	Вверх:  <bind>
$DownKeybind	Вниз:  <bind>
$RightKeybind	Вправо: <bind>
$LeftKeybind	Влево: <bind>
$AttackKeybind	Атака: <bind>
$PauseKeybind	Пауза: <bind>
$ResetBind	Сбросить: <bind>
$MuteBind	Заглушить звук: <bind>
$VolUpBind	Повысить громкость: <bind>
$VolDownBind	Понизить громкость: <bind>
$FullscreenBind	Полный экран: <bind>
$UpP2Keybind	Вверх (игрок 2): <bind>
$DownP2Keybind	Вниз (игрок 2): <bind>
$RightP2Keybind	Вправо (игрок 2): <bind>
$LeftP2Keybind	Влево (игрок 2): <bind>
$ResetText	 (Нажмите R для сброса)
$EditorRes	Сетка редактора: < <text> >
$Show_Text	Показывается
$Hidden_Text	Скрытая
$DownscrollOption	Прокручивание: < <text> >
$Downscroll_Text	Сверху-вниз
$Upscroll_Text	Снизу-вверх
$On_Text	Включено
$Off_Text	Выключено
$Pause_Block_Text	Эта опция не может быть переключена во время паузы
$GhostTapOption	Призрачные нажатия: < <text> >
$AccuracyOption	Отображение точности < <text> >
$SongPositionOption	Полоса позиции песни: < <text> >
$DistractionsAndEffectsOption	Раздражители: < <text> >
$Colour	Цветные полосы здоровья: < <text> >
$ResetButtonOption	Кнопка сброса: < <text> >
$InstantRespawn	Мгновенное возрождение: < <text> >
$FlashingLightsOption	Мигающие огни: < <text> >
$AntialiasingOption	Сглаживание: < <text> >
$MissSoundsOption	Звуки пропуска стрелок: < <text> >
$ShowInput	Отладка экрана счёта: < <text> >
$Judgement	Редактировать оценку нажатий
$FPSOption	Счётчик ФПС: < <text> >
$NoteSplashOption	Брызги нот: < <text> >
$LanguageOption	Язык: < <text> >
$ScoreScreen	Экран счёта: < <text> >
$FPSCapOption	Ограничение ФПС: < <text> >
$ScrollSpeedOption	Скорость прокручивания: < <text> >
$RainbowFPSOption	Радужное переливание ФПС: < <text> >
$AccuracyDOption	Режим точности: < <text> >
$AccuracyDOption_Accurate_Text	Точная
$AccuracyDOption_Complex_Text	Сложная
$CustomizeGameplay	Кастомизировать геймплей
$MemoryCountOption	Счётчик используемой памяти: < <text> >
$WatermarkOption	Водяные знаки: < <text> >
$OffsetMenu	Время вашего смещения
$OffsetThing	Смещение стрелок: < <text> >
$BotPlay	Бот: < <text> >
$FullscreenOnStartOption	Полный экран при запуске игры: < <text> >
$CamZoomOption	Приближение камеры: < <text> >
$JudgementCounter	Счётчик оценок: < <text> >
$MiddleScrollOption	Прокручивание в центре: < <text> >
$NoteskinOption	Выбранный вид стрелок: < <text> >
$MenuMusicOption	Выбранная музыка меню: < <text> >
$HealthBarOption	Полоса здоровья: < <text> >
$LaneUnderlayOption	Прозрачность полосы здоровья: < <text> >
$DebugMode	Отладка анимаций
$LockWeeksOption_Confirm	Подтвердить сброс недель
$LockWeeksOption_Text	Сброс прогресса недель
$ResetScoreOption_Confirm	Подтвердить сброс очков
$ResetScoreOption_Text	Сбросить очки
$ResetSettings_Confirm	Подтвердить сброс настроек
$ResetSettings_Text	Сбросить настройки
