flag;content
$GAMEPLAY_CATA;Геймплей
$APPEARANCE_CATA;Внешний вид
$MISC_CATA;Разное
$SAVES_CATA;Сохранения
$KEYBINDS_CATA;Редактирование управления
$JUDGEMENTS_CATA;Редактирование оценок
$SCROLLSPEED_Option;Изменить скорость стрелок. (1 = Настройка чарта)
$OFFSET_OPTION;Изменить смешение стрелки (как много миллисекунд будет стоять спрайт стрелки)
$ACCURACYD_OPTION;Изменить систему расчёта точности. (Точная = Простая, Сложная = Основана на милисекундах)
$GHOSTTAP_OPTION;Переключить подсчёт ошибок, если нажата не та нота.
$DOWNSCROLL_OPTION;Переключите, чтобы стрелки прокручивались сверху вниз.
$BOTPLAY_OPTION;Бот играет за тебя!
$FPSCAP_OPTION;Изменить максимум FPS.
$RESETBUTTON_OPTION;При нажатии на R, вы проигрываете.
$INSTANTRESPAWN_OPTION;Если включено, песня перезапускается сразу после смерти.
$CAMZOOM_OPTION;Переключить масштаб камеры в игре.
$NOTESPLASH_OPTION;Переключить брызги после идеального попадания по ноте
$PSYCHINTERFACE_OPTION;Переключить на интерфейс песен из Psych Engine
$JUDGEMENT;Изменить время засчитывания стрелок (Sick/Good/Bad/Shit).
$CUSTOMIZE_GAMEPLAY;Перемещайте геймплейные составляющие как хотите!
$NOTESKIN_OPTION;Изменение внешнего вида нот.
$EDITORBG_OPTION;Отображение сетки в меню чартинга
$DISTANDEFF_OPTION;Переключить эффекты сцены, которые могут мешать комфортной игре.
$HEALTHBAR_OPTION;Переключает видимость полосы здоровья!
$JUDGEMENTCOUNTER_OPTION;Показывает оценки, которые вы получили в песне.
$LANEUNDERLAY_OPTION;Изменить прозрачность полосы здоровья (Чем больше, тем виднее).
$ACCURACY_OPTION;Отображение информации о точности на информационной панели.
$SONGPOS_OPTION;Показывает текущую позицию песни в виде полосы.
$COLOUR_OPTION;Цвет здоровья персонажей позади иконки здоровья (например Пико - зелёный).
$NPSDISPLAY_OPTION;Показывает количество стрелок в секунду на информационной панели.
$RAINBOWFPS_OPTION;Заставляет счётчик ФПС переливаться радужными цветами.
$CPUSTRUMS;Переключить цвет подсветки при нажатии бота на кнопку.
$MENUMUSIC_OPTION;Изменение музыки в меню
$FPS_OPTION;Переключить отображение ФПС.
$FLASHLIGHTS_OPTION;Переключить мигающие огни.
$WATERMARK_OPTION;Переключить отображение водяных знаков в движке.
$ANTIALIASING_OPTION;Переключить сглаживание.
$MISSSOUNDS_OPTION;Переключить воспроизведение звуков пропуска стрелки.
$SCORESCREEEN_OPTION;Показывает экран со счётом после конца песни.
$SHOWINPUT_OPTION;Отобразить каждое отдельное нажатие на экране счёта
$LANGUAGE_OPTION;Изменить язык
$MEMORYCOUNT_OPTION;Переключает отображение счётчика используемой памяти
$FULLSCREENONSTART_OPTION;Переключает полный экран при запуске игры
$RESETSCORE_OPTION;Сбросить счёт во всех песнях и неделях. Это необратимо!
$LOCKWEEKS_OPTION;Сбросить весь прогресс недель. Это необратимо!
$RESETSETTINGS;Сбросить все настройки. Это необратимо!
$LEFTKEYBIND;Бинд стрелки влево
$DOWNKEYBIND;Бинд стрелки вниз
$RIGHTKEYBIND;Бинд стрелки вправо
$PAUSEKEYBIND;Бинд кнопки паузы
$RESETKEYBIND;Бинд кнопки мгновенной смерти
$MUTEKEYBIND;Бинд кнопки заглушения звуков
$VOLUPKEYBIND;Бинд кнопки повышения громкости
$VOLDOWNKEYBIND;Бинд кнопки понижения гроскости
$ATTACKKEYBIND;Бинд атаки
$SICKMS_OPTION;Как много миллисекунд вы можете получить оценку SICK
$GOODMS_OPTION;Как много миллисекунд вы можете получить оценку GOOD
$BASMS_OPTION;Как много миллисекунд вы можете получить оценку BAD
$SHITMS_OPTION;Как много миллисекунд вы можете получить оценку SHIT
$SELECTCAT;Пожалуйста, выберите категорию
$MIDDLESCROLL_OPTION;Распологает стрелки интерфейса по центру.
$UPKEYBIND;Бинд стрелки вверх
