flag	content
$BOTPLAY	БОТПЛЕЙ
$CHARTING	ЧАРТИНГ
$BOTPLAY_TEXT	Ботплей
$NA	Недоступно
$PRESSTOSKIP	Нажмите пробел для пропуска начала
$STORY_MODE	Режим истории: Неделя <storyWeek>:
$FREEPLAY	Свободная игра
$EXTRAS	Дополнительно
$PAUSED	Стоит на паузе - <detailsText>
$DISCORD_RPC_ONE	<detailsText> <songName>  (<storyDifficultyText>) <timeLeft> <accuracy>
$DISCORD_RPC_TWO	Точность: <accuracy>% | Счёт:  <songScore>  | Пропуски: <misses>
$TIME_LEFT_TEXT	Осталось времени: 
$CHART_EDITOR_TEXT	Редактирует чартинг: 
$GAME_OVER	Проиграл -- 
$Score_Text	Счёт: <text>
$Misses_Text	Пропуски: <text>
$Accuracy_Text	Точность: <text>
