flag;content
$GAMEPLAY_CATA;Gameplay
$APPEARANCE_CATA;Appearance
$MISC_CATA;Misc
$SAVES_CATA;Saves
$KEYBINDS_CATA;Editing Keybinds
$JUDGEMENTS_CATA;Editing Judgements
$SCROLLSPEED_Option;
$OFFSET_OPTION;
$ACCURACYD_OPTION;
$GHOSTTAP_OPTION;
$DOWNSCROLL_OPTION;
$BOTPLAY_OPTION;
$FPSCAP_OPTION;
$RESETBUTTON_OPTION;
$INSTANTRESPAWN_OPTION;
$CAMZOOM_OPTION;
$NOTESPLASH_OPTION;
$PSYCHINTERFACE_OPTION;
$JUDGEMENT;
$CUSTOMIZE_GAMEPLAY;
$NOTESKIN_OPTION;
$EDITORBG_OPTION;
$DISTANDEFF_OPTION;
$HEALTHBAR_OPTION;
$JUDGEMENTCOUNTER_OPTION;
$LANEUNDERLAY_OPTION;
$ACCURACY_OPTION;
$SONGPOS_OPTION;
$COLOUR_OPTION;
$NPSDISPLAY_OPTION;
$RAINBOWFPS_OPTION;
$CPUSTRUMS;
$MENUMUSIC_OPTION;
$FPS_OPTION;
$FLASHLIGHTS_OPTION;
$WATERMARK_OPTION;
$ANTIALIASING_OPTION;
$MISSSOUNDS_OPTION;
$SCORESCREEEN_OPTION;
$SHOWINPUT_OPTION;
$LANGUAGE_OPTION;
$MEMORYCOUNT_OPTION;
$FULLSCREENONSTART_OPTION;
$RESETSCORE_OPTION;
$LOCKWEEKS_OPTION;
$RESETSETTINGS;
$LEFTKEYBIND;
$DOWNKEYBIND;
$RIGHTKEYBIND;
$PAUSEKEYBIND;
$RESETKEYBIND;
$MUTEKEYBIND;
$VOLUPKEYBIND;
$VOLDOWNKEYBIND;
$ATTACKKEYBIND;
$SICKMS_OPTION;
$GOODMS_OPTION;
$BASMS_OPTION;
$SHITMS_OPTION;
$SELECTCAT;Please select a category
