flag	content
$PSYCH_RATING_WITH_AC	Score: <score> | Misses: <misses> | Rating: <ratingName>  (<ratingPercent>%) - <ratingFC>
$KADE_RATING_WITHOUT_AC_WITH_NPC	NPS: <nps>  (Max <maxnps>) | Score: <score>
$BOTPLAY	BOTPLAY
$CHARTING	CHARTING
$PSYCH_RATING_WITHOUT_AC	Score: <score> | Misses: <misses> | Rating: <ratingName>
$KADE_RATING_WITH_AC_WITH_NPC	NPS: <nps>  (Max <maxnps>) | Score: <score> | Combo Breaks: <misses> | Accuracy: <accuracyPers> % | <accuracyStr> 
$KADE_RATING_WITHOUT_AC_WITHOUT_NPC	Score: <score>
$KADE_RATING_WITH_AC_WITHOUT_NPC	Score: <score> | Combo Breaks: <misses> | Accuracy: <accuracyPers> % | <accuracyStr> 
$BOTPLAY_TEXT	Botplay
$NA	N/A
$PRESSTOSKIP	Press Space to Skip Intro
$STORY_MODE	Story Mode: Week <storyWeek>:
$FREEPLAY	Freeplay
$EXTRAS	Extras
$PAUSED	Paused - <detailsText>
$DISCORD_RPC_ONE	<detailsText> <songName>  (<storyDifficultyText>) <timeLeft> <accuracy>
$DISCORD_RPC_TWO	Acc: <accuracy>% | Score:  <songScore>  | Misses: <misses>
$TIME_LEFT_TEXT	Time left:
$CHART_EDITOR_TEXT	Chart Editor: 
$GAME_OVER	GAME OVER -- 
