flag	content
$PSYCH_RATING_WITH_AC	Счёт: <score> | Пропуски: <misses> | Рейтинг: <ratingName>  (<ratingPercent>%) - <ratingFC>
$KADE_RATING_WITHOUT_AC_WITH_NPC	Стрелок в секунду: <nps>  (Максимум <maxnps>) | Счёт: <score>
$BOTPLAY	БОТПЛЕЙ
$CHARTING	ЧАРТИНГ
$PSYCH_RATING_WITHOUT_AC	Счёт: <score> | Пропуски: <misses> | Рейтинг: <ratingName>
$KADE_RATING_WITH_AC_WITH_NPC	Стрелок в секунду: <nps>  (Максимум <maxnps>) | Счёт: <score> |Пропуски: <misses> | Точность: <accuracyPers> % | <accuracyStr> 
$KADE_RATING_WITHOUT_AC_WITHOUT_NPC	Счет: <score>
$KADE_RATING_WITH_AC_WITHOUT_NPC	Счёт: <score> | Пропуски: <misses> | Точность: <accuracyPers> % | <accuracyStr> 
$BOTPLAY_TEXT	Ботплей
$NA	Недоступно
$PRESSTOSKIP	Нажмите пробел для пропуска начала
